list_entry,reason,title,statutory_address
1292673,monument,"Monument to John Temple 2 Metres East of Monument to William Barbon at All Saints' Church","MONUMENT TO JOHN TEMPLE 2 METRES EAST OF MONUMENT TO WILLIAM BARBON AT ALL SAINTS&#x27; CHURCH, CHURCH PLACE"
1292674,monument,"Monument to Mary Skinner 2 Metres North of Monument to Ann Brett at All Saints' Church","MONUMENT TO MARY SKINNER 2 METRES NORTH OF MONUMENT TO ANN BRETT AT ALL SAINTS&#x27; CHURCH, CHURCH PLACE"
1292694,monument,"Monument to Jane Gleed Approximately 3 Metres South East of Monument to John Bull at All Saints Church","MONUMENT TO JANE GLEED APPROXIMATELY 3 METRES SOUTH EAST OF MNUMENT TO JOHN BULL AT ALL SAINTS CHURCH, LYNCH LANE"
1292710,monument,"Monument to William Barnes Against Northernmost Bay of Nave All Saints' Church","MONUMENT TO WILLIAM BARNES AGAINST NORTHERNMOST BAY OF NAVE ALL SAINTS&#x27; CHURCH, CHURCH PLACE"
1292714,monument,"Monument to Elenor Bull Approximately 8 Metres South of Nave at St Marys Church","MONUMENT TO ELENOR BULL APPROXIMATELY 8 METRES SOUTH OF NAVE AT ST MARYS CHURCH, B3399"
1292715,monument,"Monument Approximately 2.5 Metres East of East Window at St Peter and St Paul's Church","MONUMENT APPROXIMATELY 2.5 METRES EAST OF EAST WINDOW AT ST PETER AND ST PAUL&#x27;S CHURCH, B3399"
1292716,monument,"Monument to Frances Jolliffe Approximately 1/2 Metres East of South Porch at St Peter and St Paul's Church","MONUMENT TO FRANCES JOLLIFFE APPROXIMATELY 1/2 METRES EAST OF SOUTH PORCH AT ST PETER AND ST PAUL&#x27;S CHURCH, B3399"
1292735,monument,"Monument to Frederic Vilmet at John the Baptist Church","MONUMENT TO FREDERIC VILMET AT JOHN THE BAPTIST CHURCH, CHURCH STREET"
1292736,monument,"Monument to George Kirkpatrick Approximately 10 Metres South of West Tower at John the Baptist Church","MONUMENT TO GEORGE KIRKPATRICK APPROXIMATELY 10 METRES SOUTH OF WEST TOWER AT JOHN THE BAPTIST CHURCH, CHURCH STREET"
1292737,monument,"Monument to William Cheek Approximately 2 Metres North of North Aisle at John the Baptist Church","MONUMENT TO WILLIAM CHEEK APPROXIMATELY 2 METRES NORTH OF NORTH AISLE AT JOHN THE BAPTIST CHURCH, CHURCH STREET"
